	class	kingdom	order	phylum
OTU_1228	Betaproteobacteria	Bacteria		Proteobacteria
OTU_1229	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_123	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_1230	Deltaproteobacteria	Bacteria	Myxococcales	Proteobacteria
OTU_1231	Gammaproteobacteria	Bacteria	Aeromonadales	Proteobacteria
OTU_1234	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_1236	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_1237	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_1238	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_124	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1240	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_1241	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_1242	Betaproteobacteria	Bacteria	Neisseriales	Proteobacteria
OTU_1244	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_1245	Gammaproteobacteria	Bacteria	Legionellales	Proteobacteria
OTU_1247	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_1248	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_1249	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_125	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_1250				
OTU_1251	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_1252	Gammaproteobacteria	Bacteria		Proteobacteria
OTU_1258	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_1259	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_126	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1260				
OTU_1262	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1263				
OTU_1265				
OTU_1266	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1267	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_1268	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1269	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_127	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_128	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_129	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_13	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_130	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_131	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_132	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_133	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_134	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_135	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_136	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_137	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_138				
OTU_139	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_14	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_140	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_141	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_142	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_143				
OTU_144	Betaproteobacteria	Bacteria	Methylophilales	Proteobacteria
OTU_145	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_146	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_147	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_148	Gammaproteobacteria	Bacteria	Enterobacteriales	Proteobacteria
OTU_149	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_15	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_150	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_151	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_152	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_153	Betaproteobacteria	Bacteria	Methylophilales	Proteobacteria
OTU_154	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_155	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_156	Chloroplast	Bacteria		Cyanobacteria
OTU_157	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_158	Gammaproteobacteria	Bacteria	Enterobacteriales	Proteobacteria
OTU_159	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_16	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_160	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_161	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_162	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_163	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_164	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_165	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_166	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_167	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_168	OM190	Bacteria	CL500-15	Planctomycetes
OTU_169	Gammaproteobacteria	Bacteria	Thiotrichales	Proteobacteria
OTU_17	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_170	Betaproteobacteria	Bacteria	MWH-UniP1	Proteobacteria
OTU_171	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_172	Mb-NB09	Bacteria		OD1
OTU_173	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_174	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_175	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_176	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_177	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_178	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_179	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_18	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_180	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_181	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_182	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_183	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_184	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_185	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_186	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_187	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_188	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_189	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_19	Nostocophycideae	Bacteria	Nostocales	Cyanobacteria
OTU_190	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_191	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
