	class	kingdom	order	phylum
OTU_690	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_691	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_692	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_693	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_694				
OTU_695	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_696	Thermoleophilia	Bacteria	Gaiellales	Actinobacteria
OTU_697	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_698	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_699	Clostridia	Bacteria	Clostridiales	Firmicutes
OTU_7	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_70	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_700	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_702	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_703	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_704	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_705	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_707	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_708	Clostridia	Bacteria	Clostridiales	Firmicutes
OTU_709	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_71	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_710	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_711	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_714	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_715	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_717	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_718	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_719				
OTU_72	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_720	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_721	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_722				
OTU_723				
OTU_724	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_725	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_726	Planctomycetia	Bacteria	Gemmatales	Planctomycetes
OTU_727				
OTU_729	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_73	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_730	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_731	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_732	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_733	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_734	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_735	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_736	Gammaproteobacteria	Bacteria	Thiotrichales	Proteobacteria
OTU_737	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_738				
OTU_739	OM190	Bacteria	CL500-15	Planctomycetes
OTU_74	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_742	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_743	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_744	SC3	Bacteria		TM7
OTU_746				
OTU_747	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_748				
OTU_749	SL56	Bacteria		Chloroflexi
OTU_75	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_751				
OTU_753	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_754	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_755	Chlamydiia	Bacteria	Chlamydiales	Chlamydiae
OTU_756	Fusobacteriia	Bacteria	Fusobacteriales	Fusobacteria
OTU_757	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_759	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_76	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_760	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_761	4C0d-2	Bacteria	MLE1-12	Cyanobacteria
OTU_762	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_764	Opitutae	Bacteria	Opitutales	Verrucomicrobia
OTU_767	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_768	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_769	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_77	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_770	SC72	Bacteria	WCHB1-15	WS6
OTU_771	Chlamydiia	Bacteria	Chlamydiales	Chlamydiae
OTU_772	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_773	Solibacteres	Bacteria	Solibacterales	Acidobacteria
OTU_774	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_775				
OTU_776	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_777	Nostocophycideae	Bacteria	Nostocales	Cyanobacteria
OTU_778	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_779	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_78	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_780	Planctomycetia	Bacteria	Planctomycetales	Planctomycetes
OTU_781				
OTU_782	Phycisphaerae	Bacteria	Phycisphaerales	Planctomycetes
OTU_783	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_784				
OTU_785	Betaproteobacteria	Bacteria	Rhodocyclales	Proteobacteria
OTU_788	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_789	Planctomycetia	Bacteria	Planctomycetales	Planctomycetes
OTU_79	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_790	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_791	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_792	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_793	Holophagae	Bacteria	Holophagales	Acidobacteria
OTU_794	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_796	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_797	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_798	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_8	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_80	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_800	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_801	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_802	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_803	DA052	Bacteria	Ellin6513	Acidobacteria
OTU_805	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_806	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_807	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_808				
OTU_809	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_81	Betaproteobacteria	Bacteria	MWH-UniP1	Proteobacteria
OTU_811	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_813	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
OTU_814	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_816	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_817	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_819	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_82	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_820	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_821	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_822	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_824	[Rhodothermi]	Bacteria	[Rhodothermales]	Bacteroidetes
OTU_825	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_826	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_827	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_828	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_829	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_83	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_830	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_831	Betaproteobacteria	Bacteria		Proteobacteria
OTU_833	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_835	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_836	Phycisphaerae	Bacteria	Phycisphaerales	Planctomycetes
OTU_837	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_838	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_839	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_84	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_840	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_842	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_844	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_845	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_847	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_848	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_849	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_85	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_850	Alphaproteobacteria	Bacteria	Kiloniellales	Proteobacteria
OTU_853				
OTU_854	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_855	Betaproteobacteria	Bacteria	Procabacteriales	Proteobacteria
OTU_856				
OTU_857	Solibacteres	Bacteria	Solibacterales	Acidobacteria
OTU_858	Anaerolineae	Bacteria	Caldilineales	Chloroflexi
OTU_859	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_86	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_860				
OTU_861				
OTU_862	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_865	Gammaproteobacteria	Bacteria	Legionellales	Proteobacteria
OTU_866	Deltaproteobacteria	Bacteria	GMD14H09	Proteobacteria
OTU_867	TA18	Bacteria	PHOS-HD29	Proteobacteria
OTU_868	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_87	Betaproteobacteria	Bacteria		Proteobacteria
OTU_870	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_871	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_872	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_874	Betaproteobacteria	Bacteria	Procabacteriales	Proteobacteria
OTU_875	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_876	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
OTU_877	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_878	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_879	[Pedosphaerae]	Bacteria	[Pedosphaerales]	Verrucomicrobia
OTU_88	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_880	Betaproteobacteria	Bacteria		Proteobacteria
OTU_881	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_883	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_884				
OTU_885	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_887	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_889	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_89	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_890	Opitutae	Bacteria	Opitutales	Verrucomicrobia
OTU_891	Deltaproteobacteria	Bacteria	MIZ46	Proteobacteria
OTU_892	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_893	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_897				
OTU_898	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_899	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_9	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_90	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_900				
OTU_902	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_903	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_905	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_906	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_907	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_908	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_909	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_91	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_910	[Rhodothermi]	Bacteria	[Rhodothermales]	Bacteroidetes
OTU_911	[Pedosphaerae]	Bacteria	[Pedosphaerales]	Verrucomicrobia
OTU_913				
OTU_914	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_915	Opitutae	Bacteria	Puniceicoccales	Verrucomicrobia
OTU_92	Chloroflexi	Bacteria	[Roseiflexales]	Chloroflexi
OTU_920	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_921	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_922	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_923	Betaproteobacteria	Bacteria	Procabacteriales	Proteobacteria
OTU_924	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_925	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_926	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_93	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_933				
OTU_937	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_94	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_940	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_941	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_942	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_943				
OTU_945	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_946	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_947	[Pedosphaerae]	Bacteria	[Pedosphaerales]	Verrucomicrobia
OTU_948	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_949	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_95	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_951	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_953				
OTU_955	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_956	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_957				
OTU_958	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_96	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_961	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_962	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_963	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_964	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_965	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_966	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_968	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_969				
OTU_97	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_970	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_973	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_976	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
OTU_98	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_982	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_983	Bacilli	Bacteria	Lactobacillales	Firmicutes
OTU_984				
OTU_986				
OTU_987	Deltaproteobacteria	Bacteria	Spirobacillales	Proteobacteria
OTU_988	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_989	Clostridia	Bacteria	Clostridiales	Firmicutes
OTU_99	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_990	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_991	Alphaproteobacteria	Bacteria	Ellin329	Proteobacteria
OTU_993	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_994	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_995				
OTU_996	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_998	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_999	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
