contig	length	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_440	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232227	0	0	0	0	0	0	0	0	0	0.175355	0	0	0	0	0	0	0	0
OTU_515	422	0	0	0	0	0.073460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1002	327	0	0	0	0	0	0	0	0	2.470949	0	0.299694	0	0	0.608562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_259	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093677	0	0	0	0	0	0	0	0	0.236534	0	0	0	0	0	0	0	0	0
OTU_1000	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1001	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239336	0.239336	0	0	0	0	0.106635	0	0	0	0	0	0	0.319905
OTU_1006	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_942	404	0	1.094059	0	0	0	0.250000	0	0	0	0	1.492573	0	0.750000	2.878712	0.499999	0	0.750000	0	0.730199	0	0.490099	0	0.250000	0	0	0.742574	0	0	0.168317	0	0.992574	2.695544	0.250000	0.250000	0	0	0
OTU_258	426	0	0.237089	0	0	0	0.474178	0	0	0	0	0.948356	0.467137	1.030516	2.828638	0.237089	0	0	0	0.819248	0.474178	1.645540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	402	0	0	0	0	0	0	0	0.251244	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251244	0	0.104478	0	0.708956	0	0	0	0	0	0	0	0	0	0	0.104478
OTU_705	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502488	0	0	0	0	0	0	0	0	0.251244	0	0	0	0.243781	0.094527	0.997512	0.251244	0.753733	0	0.502487	0	0	0.753731	3.353235
OTU_21	407	0.248157	1.737099	0.479115	0	0	0.992628	0.427518	15.837831	0	3.818182	3.685500	0	6.363633	23.356254	6.995082	5.422601	10.552821	7.405403	5.786239	1.488942	4.665845	11.864860	8.326776	4.027024	1.240785	0.496314	10.786233	10.631442	4.776410	1.488942	4.152332	1.970514	3.941030	0.982801	0	0.373464	1.240785
OTU_20	403	4.215882	11.243175	3.729529	1.002482	10.908189	2.987594	0.744416	1.002481	0.501240	0.493796	2.133996	2.004962	2.498757	1.481387	1.188587	0.674937	0.501241	1.595534	0	0	0.250620	0.250620	8.863527	0	0	12.218360	5.741929	16.057076	4.692301	0.759306	2.811413	0.466501	0	2.808932	0.501241	0.913151	11.230767
OTU_23	427	0	1.124123	0	0	0.192037	0.231850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_22	402	0	0.213930	0	0	0	0	0	0.208955	0	0	0	0	0	0.184080	0	0.211443	0	0	0	0	0	0	0.263682	0	0	0.251244	0	0	0	0	0	0	0	0	0	0	0
OTU_25	404	0	0	0	0	0	0	0	1.378711	0	0	0.499999	0	0.500000	0.861387	1.383664	0	0	0	0.992574	0	1.250002	0.695545	1.913367	0.485148	0.250000	0.500001	0.499999	0.900992	0.123762	0	0.960396	0.750001	0.500000	0.410891	0	0.749999	0
OTU_24	422	0	8.699057	0	0.469194	1.180093	2.319903	0.718010	0.718010	0	0	0.478673	0	1.436020	15.248808	1.106635	0	1.196680	0.428909	0.708531	0.239336	1.668248	0.239336	2.144550	0	0	0.957346	1.028435	2.545023	2.533177	0.478673	0.862560	0.950237	0	0.478672	0.478673	3.983413	10.319907
OTU_27	403	0.250620	0.493797	0	0	0	0	0.250620	0	0.250620	0	0	0.501240	0.751860	0.250620	0	0.138958	1.245657	0	0	0.501241	0	0	3.468983	0	0	1.193548	1.342430	1.501242	1.198510	0	2.645160	0.250620	0.243176	0.250620	0	1.243177	0.250620
OTU_26	422	0.926540	0.239336	0.239336	0	0	0	0	12.874407	0	0.718009	0	0	0.471564	0.471564	0	1.668245	0	0.381517	2.146920	0	4.860186	9.518959	7.424159	0	0	0.957345	2.379148	12.004739	5.770146	0.952607	2.146920	1.419432	0.957345	3.191943	0	1.286729	4.234595
OTU_29	402	0	0.432835	0	0	0.251244	0.462687	0	3.129352	0.502487	0.502487	0	0	0	1.256220	0	1.004976	0	0	0.746269	0	0.945274	2.995025	2.957711	0.251244	0.753731	1.004974	0.726369	1.507463	1.500000	0.251244	0.251244	0	1.002487	0	0	0	0
OTU_28	402	0.708955	2.835821	0	0	1.345773	0	0	0.251244	1.840799	0	1.236319	0	0.492537	0.753730	0.753732	0	0	0	0	0.251244	0.502488	0.251244	1.507462	0	0	5.253732	0	0	0.495024	0	0	0	0	1.256219	0	0.251244	0.746270
OTU_1199	402	0	0.310945	0	0	0.251244	0	0	0	0	0	0.492537	0	0	0	0	0.251244	0	0	0	0	0	0	0	0	0	0	0.186567	0	0	0	0	0	0	0.365672	0	0	0
OTU_441	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_702	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_700	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131841	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_606	404	0	0	0	0	0.980198	0.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250000	0	0.250000	0	0	0	0	0.242574	0.101485	0	0	0	0	0	0	0	0	0
OTU_607	427	0	0	0	0	0	0	0	0.081967	0	0	0.702576	0.473068	0	1.456673	0	0	0.946137	0	2.451990	2.028103	0.946136	0	0	0	0	0	0.330211	0.236534	0	0	0	0	0	0.086651	0	0	0.107728
OTU_604	426	0	0	0	0	0.124413	0	0	3.392020	0	0	0	0	0	0	0	0	0	0	0	0	0	1.741782	1.415494	0	0	0	0.474178	2.598592	0.077465	0	0.694835	0.948357	0.237089	2.124411	0	0	0.237089
