7651214	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:32:23	00:00:02	.	2	.	m169	.
7651211	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:32:23	00:00:02	.	2	.	m169	.
7651216	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:32:23	00:00:03	.	2	.	m19	.
7651206	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:32:23	00:00:02	.	2	.	m83	.
7651208	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:32:26	00:00:05	.	2	.	m181	.
7651228	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:36:26	00:00:05	.	2	.	m83	.
7651227	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:36:31	00:00:10	.	2	.	m71	.
7651176	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T00:47:32	04:03:51	node_type_overbooked:mem256GB:mem128GB	16	16	m143	/sw/share/slurm/milou/uppmax_jobstats/m143/7651176
7651196	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:50:15	00:00:40	.	1	.	m186	.
7651205	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:53:23	00:00:01	.	2	.	m169	.
7651177	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T00:57:18	04:05:37	node_type_overbooked:mem256GB:mem128GB	16	16	m152	/sw/share/slurm/milou/uppmax_jobstats/m152/7651177
7651198	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T01:01:51	00:00:43	.	1	.	m159	.
7651209	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T01:06:01	00:00:01	.	2	.	m83	.
7651171	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T03:10:33	03:14:01	node_type_overbooked:mem512GB:mem128GB	16	16	m130	/sw/share/slurm/milou/uppmax_jobstats/m130/7651171
7651194	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T03:13:09	00:00:43	.	1	.	m19	.
7651215	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T03:14:53	00:00:02	.	2	.	m156	.
7651174	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T04:15:19	03:50:47	node_type_overbooked:mem256GB:mem128GB	16	16	m145	/sw/share/slurm/milou/uppmax_jobstats/m145/7651174
7651175	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T04:17:24	03:29:17	node_type_overbooked:mem256GB:mem128GB	16	16	m140	/sw/share/slurm/milou/uppmax_jobstats/m140/7651175
7651178	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T04:18:03	04:20:16	node_type_overbooked:mem256GB:mem128GB	16	16	m146	/sw/share/slurm/milou/uppmax_jobstats/m146/7651178
7651191	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T04:19:55	00:01:02	.	1	.	m169	.
7651189	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T04:20:02	00:01:09	.	1	.	m169	.
7651203	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T04:20:04	00:01:11	.	1	.	m169	.
7651172	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T04:22:16	04:25:44	node_type_overbooked:mem512GB:mem128GB	16	16	m135	/sw/share/slurm/milou/uppmax_jobstats/m135/7651172
7651183	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T04:24:12	00:00:46	.	1	.	m156	.
