contig,length,cov_mean_sample_0314,cov_mean_sample_0322,cov_mean_sample_0328,cov_mean_sample_0403,cov_mean_sample_0416,cov_mean_sample_0419,cov_mean_sample_0423,cov_mean_sample_0507,cov_mean_sample_0516,cov_mean_sample_0521,cov_mean_sample_0531,cov_mean_sample_0604,cov_mean_sample_0613,cov_mean_sample_0619,cov_mean_sample_0628,cov_mean_sample_0705,cov_mean_sample_0709,cov_mean_sample_0717,cov_mean_sample_0802,cov_mean_sample_0806,cov_mean_sample_0813,cov_mean_sample_0820,cov_mean_sample_0823,cov_mean_sample_0828,cov_mean_sample_0903,cov_mean_sample_0910,cov_mean_sample_0920,cov_mean_sample_0924,cov_mean_sample_1001,cov_mean_sample_1004,cov_mean_sample_1015,cov_mean_sample_1022,cov_mean_sample_1028,cov_mean_sample_1105,cov_mean_sample_1123,cov_mean_sample_1128,cov_mean_sample_1220
contig-148000352,2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.995627,0.0,1.0268899999999999,0.0,0.0,0.0,0.0,0.0,1.625883,0.0,0.0,8.543194,2.326724,3.081006,12.771428,2.461512,0.9159649999999999,0.5307569999999999,0.119328,2.7932770000000002,0.29176399999999997,1.256134,0.0,1.781512,0.644369,0.33882399999999996,0.135798,0.0,1.44874,0.813109
contig-12000446,6247,0.015847999999999998,0.517368,0.080839,0.14438900000000002,0.012326,0.321594,0.0,0.919961,0.0,0.0,0.241076,0.0,0.358092,0.544901,0.129342,0.531295,0.0,0.064671,0.573395,0.048183,0.258204,0.607492,0.7814949999999999,0.38498499999999997,0.177845,0.242196,1.419883,0.159597,1.0569879999999998,0.2097,4.520087999999999,2.403394,0.064671,2.267969,0.0,16.650233,2.566671
contig-170000576,411,0.49148400000000003,0.0,0.457421,0.0,0.0,0.0,0.0,0.49148400000000003,0.0,0.0,0.0,0.0,0.0,0.085158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49148400000000003,3.35523,0.0,0.0,0.9829700000000001,0.0,4.323603,1.394161,1.233576,1.688565,1.416058,0.0,0.0,0.0,1.248175,0.24574200000000002
contig-83000098,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.164532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6987239999999995,0.0,0.0,2.155984,1.7264959999999998,1.9423080000000001,1.294869,0.21581199999999998,0.344018,0.0,0.0,0.8632479999999999,0.0,0.0,0.0,0.43162399999999995,0.21581199999999998,0.0,0.0,0.0,0.0,0.0
contig-10000617,1158,0.604491,7.201206,0.734024,0.8428329999999999,1.259931,3.846288,0.348877,0.0,0.12521600000000002,0.0,0.0,0.47495699999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.835062000000001,0.027634,0.087219,0.0,0.0,0.0,0.0,0.087219,0.0,0.174439,0.0,0.0
contig-150000432,306,0.30719,0.990196,0.284314,0.0,3.1568650000000003,0.0,0.0,0.330065,0.0,0.0,0.0,0.0,0.0,0.330065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20915,0.0,0.330065,0.330065,2.238563,0.0,0.66013,0.0,0.6307189999999999,1.3202610000000001,0.0,0.0,0.330065,0.0,0.330065,0.0
contig-5000592,6985,0.209162,1.818611,0.15748,0.096636,0.171797,0.503364,0.129707,3.0813189999999997,0.273873,0.156192,0.0,0.0,0.057838,1.1773799999999999,0.938011,1.7218330000000002,2.049249,0.6668569999999999,3.154759,0.965211,0.700643,1.923266,3.291196,0.6209020000000001,0.337581,0.790121,5.214743,5.502217,4.468001,1.3424479999999999,4.140586,2.424049,0.051396000000000004,4.205011,0.115247,2.163207,2.727274
contig-21000564,3209,0.469617,10.344964,0.24836399999999997,1.007168,3.376753,6.859144000000001,0.374571,0.094422,3.039889,0.062948,0.5665319999999999,0.522904,0.373014,0.6974130000000001,0.553755,0.0,0.24992199999999998,0.282331,0.0,0.062948,0.074166,0.040199,0.308196,0.0,0.0,3.2421290000000003,2.378933,0.627922,0.755376,0.188844,0.464942,0.295419,0.0,0.503584,0.22031799999999999,0.125896,2.605798
contig-60000029,403,1.0024819999999999,4.208438,0.25062,0.25062,1.707195,2.712161,1.002481,0.0,0.25062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.478907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig-88000512,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.484168,0.0,2.622173,16.416291,0.0,0.0,0.22850700000000002,0.0,0.22850700000000002,0.22850700000000002,0.436651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
